Ticker,Representative,Party,House,TransactionDate,ReportDate,EntryDate,ExitDate,EntryPrice,ExitPrice,TradeReturn,SPYReturn,ExcessReturn,Open
SBNY,Daniel Goldman,Democratic,Representatives,2023-03-06,2023-04-17,2023-03-06,2023-05-05,110.89,0.09,-0.999188384885923,0.02017454941033936,-1.0193629342962622,False
HTZ,Daniel Crenshaw,Republican,Representatives,2020-03-26,2021-03-24,2020-03-26,2020-05-25,7.24,0.555,-0.9233425414364641,0.14502297090352223,-1.0683655123399864,False
AIV,Pat Toomey,Republican,Senate,2020-11-30,2020-12-29,2020-11-30,2021-01-29,37.5797,4.59,-0.8778595890866612,0.02212340496050369,-0.8999829940471649,False
SCTY,Zoe Lofgren,Democratic,Representatives,2016-10-12,2016-10-24,2016-10-12,2016-12-11,19.99,2.6001,-0.8699299649824912,0.058677647279022915,-0.9286076122615141,False
MTDR,Josh Gottheimer,Democratic,Representatives,2020-01-10,2020-02-10,2020-01-10,2020-03-10,18.21,2.41,-0.8676551345414607,-0.11448834853090162,-0.7531667860105591,False
