Date,OpenPositions,CumPortfolio,CumSPY
2012-06-06,0,10000.0,10000.0
2012-06-07,1,10113.550340651023,10006.061983784193
2012-06-08,1,10163.512490537472,10085.625520951731
2012-06-11,1,10019.68205904618,9957.944987497158
2012-06-12,1,10183.194549583652,10071.986057437296
2012-06-13,1,10098.410295230888,10007.57747973024
2012-06-14,1,10099.9242997729,10114.419943926649
2012-06-15,1,10339.137017411056,10164.431310146245
2012-06-18,1,10814.534443603334,10184.132757444875
2012-06-19,1,10831.188493565485,10282.639993938017
2012-06-20,1,10672.218016654051,10265.969538531483
2012-06-21,1,10422.407267221804,10035.614154732135
2012-06-22,1,10249.81074943225,10112.904447980602
2012-06-25,1,10099.9242997729,9950.746381753428
2012-06-26,1,10168.054504163512,10000.757747973024
2012-06-27,1,10089.326267978804,10091.15708115481
2012-06-28,1,10272.520817562454,10062.135333787983
2012-06-29,1,10531.415594246786,10313.328786845495
2012-07-02,1,10384.557153671465,10344.017579752974
2012-07-03,1,10487.509462528391,10412.366446919754
2012-07-05,1,10735.806207418624,10365.23452299765
2012-07-06,1,10581.377744133233,10266.727286504509
2012-07-09,1,10638.90991672975,10253.845570963098
2012-07-10,1,10507.191521574567,10164.431310146245
2012-07-11,1,10395.155185465557,10165.946806092294
2012-07-12,1,10333.080999242999,10116.693187845722
2012-07-13,1,10611.657834973505,10286.428733803137
2012-07-16,1,10423.921271763815,10262.180798666364
2012-07-17,1,10423.921271763815,10332.651360157612
2012-07-18,1,10398.183194549583,10409.183905433052
2012-07-19,1,10879.636638909915,10436.462832461924
2012-07-20,1,10717.638152914456,10340.986587860876
2012-07-23,1,10545.041635124904,10236.41736758354
2012-07-24,1,10535.95760787282,10148.139728726226
2012-07-25,1,10719.152157456469,10150.79184663181
2012-07-26,1,10955.336866010593,10318.254148670152
2012-07-27,2,11317.516196486162,10508.07001591271
2012-07-30,2,11204.032715295818,10508.44888989922
2012-07-31,2,11048.645201650226,10434.947336515876
2012-08-01,2,10831.722322017175,10425.854360839587
2012-08-02,2,10876.95451559254,10353.868303402287
2012-08-03,2,11202.892383005883,10559.142229294535
2012-08-06,1,11378.143463568078,10579.677199363494
2012-08-07,1,11492.781388447107,10632.719557475184
2012-08-08,1,11492.781388447107,10645.601273016597
2012-08-09,1,11648.267309547402,10654.694248692886
2012-08-10,1,11719.421883610248,10672.12245207244
2012-08-13,1,11675.938532794064,10666.818216261274
2012-08-14,1,11578.430412782014,10668.333712207319
2012-08-15,1,11544.170803048053,10680.457679775705
2012-08-16,1,11673.303178199143,10759.26346897022
2012-08-17,1,11860.413354438479,10773.66068045768
2012-08-20,1,11917.073478229264,10774.418428430703
2012-08-21,1,11897.308318767364,10741.835265590664
2012-08-22,1,11690.432983066123,10746.381753428808
2012-08-23,1,11546.80615764297,10658.861862544518
2012-08-24,1,11525.72332088361,10722.89156626506
2012-08-27,1,11415.03842789696,10725.164810184131
2012-08-28,1,11333.342435454435,10714.556338561795
2012-08-29,1,11343.883853834115,10722.89156626506
2012-08-30,1,11130.420131645578,10645.601273016597
2012-08-31,1,11243.740379227147,10696.370387209214
2012-09-04,1,10891.920540805299,10686.898537546413
