timestamp,open,high,low,close,volume
2025-04-09 09:30:00-04:00,493.44,495.22,493.43,494.4,925364.0
2025-04-09 09:31:00-04:00,494.44,496.04,493.65,495.52,730465.0
2025-04-09 09:32:00-04:00,495.53,496.82,495.3,496.55,628953.0
2025-04-09 09:33:00-04:00,496.55,496.92,495.46,496.5,614134.0
2025-04-09 09:34:00-04:00,496.51,496.67,494.84,495.32,566533.0
2025-04-09 09:35:00-04:00,495.3,496.8,494.88,496.1,443879.0
2025-04-09 09:36:00-04:00,496.09,496.52,494.53,495.46,460898.0
2025-04-09 09:37:00-04:00,495.45,495.7,494.11,494.34,715431.0
2025-04-09 09:38:00-04:00,494.37,498.15,494.18,498.13,686804.0
2025-04-09 09:39:00-04:00,498.17,499.58,497.48,499.54,667391.0
2025-04-09 09:40:00-04:00,499.52,500.36,498.72,500.2,1029768.0
2025-04-09 09:41:00-04:00,500.2,502.04,499.55,501.4,709464.0
2025-04-09 09:42:00-04:00,501.39,501.53,500.18,500.25,613743.0
2025-04-09 09:43:00-04:00,500.175,501.09,499.3001,499.3001,462307.0
2025-04-09 09:44:00-04:00,499.32,499.99,497.21,497.59,650822.0
2025-04-09 09:45:00-04:00,497.5301,498.6794,496.82,496.96,469101.0
2025-04-09 09:46:00-04:00,496.98,497.79,496.71,497.1996,309914.0
2025-04-09 09:47:00-04:00,497.21,497.32,495.725,496.74,418472.0
2025-04-09 09:48:00-04:00,496.74,497.57,496.06,497.55,290648.0
2025-04-09 09:49:00-04:00,497.48,498.72,496.61,498.6565,401544.0
2025-04-09 09:50:00-04:00,498.56,499.1,498.0039,498.5001,401619.0
2025-04-09 09:51:00-04:00,498.45,499.97,498.19,499.7401,295778.0
2025-04-09 09:52:00-04:00,499.8,500.93,499.5,499.925,445611.0
2025-04-09 09:53:00-04:00,499.925,500.93,499.63,500.9199,284328.0
2025-04-09 09:54:00-04:00,500.88,500.9299,499.3802,500.2752,416744.0
2025-04-09 09:55:00-04:00,500.32,500.72,499.56,500.42,273476.0
2025-04-09 09:56:00-04:00,500.4,501.35,500.28,501.24,324227.0
2025-04-09 09:57:00-04:00,501.245,501.37,500.1,500.3504,253927.0
2025-04-09 09:58:00-04:00,500.42,500.98,499.21,500.48,295399.0
2025-04-09 09:59:00-04:00,500.59,500.75,499.77,499.85,226831.0
2025-04-09 10:00:00-04:00,499.86,503.23,499.74,502.16,653321.0
2025-04-09 10:01:00-04:00,502.17,503.05,501.86,502.48,328732.0
